"table","variable","statistic","published","reproduced","source_line","error"
1,"numhh","mean_high",246.7,246.6875,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",-0.0124999999999886
1,"numhh","sd_high",173.2,173.219840179798,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",0.0198401797980239
1,"numhh","mean_low",278.3,278.309523809524,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",0.009523809524012
1,"numhh","sd_low",163.2,163.218017910093,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",0.0180179100930218
1,"numhh","difference",31.6,31.6220238095238,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",0.0220238095237981
1,"numhh","pooled_se",35.6,35.6303773047137,"Number of households                               246.7 (173.2)          278.3 (163.2)          31.6 (35.6)",0.0303773047137028
1,"area","mean_high",275.7,275.732727397572,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",0.0327273975719891
1,"area","sd_high",501.5,501.49270133356,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",-0.00729866644002186
1,"area","mean_low",274.7,274.657500553131,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",-0.0424994468689874
1,"area","sd_low",260.3,260.334522751934,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",0.0345227519339915
1,"area","difference",-1.1,-1.07522684444075,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",0.0247731555592501
1,"area","pooled_se",88.5,88.5030220352905,"Area (hectares)                                    275.7 (501.5)          274.7 (260.3)         −1.1 (88.5)",0.00302203529049905
1,"hhlless","mean_high",0.22,0.218333333333333,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",-0.00166666666666701
1,"hhlless","sd_high",0.18,0.183909475110613,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",0.00390947511061299
1,"hhlless","mean_low",0.22,0.218571428571429,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",-0.001428571428571
1,"hhlless","sd_low",0.2,0.204612321453505,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",0.00461232145350499
1,"hhlless","difference",0,0.00023809523809522,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",0.00023809523809522
1,"hhlless","pooled_se",0.04,0.040954154515859,"Landless households                                   0.22 (0.18)           0.22 (0.20)           0.0 (0.04)",0.000954154515858958
1,"hhelec","mean_high",0.38,0.383846153846154,"Electrified households                                0.38 (0.29)           0.35 (0.28)         −0.03 (0.1)",0.003846153846154
1,"hhelec","sd_high",0.29,0.294945105713954,"Electrified households                                0.38 (0.29)           0.35 (0.28)         −0.03 (0.1)",0.00494510571395401
1,"hhelec","mean_low",0.35,0.348695652173913,"Electrified households                                0.38 (0.29)           0.35 (0.28)         −0.03 (0.1)",-0.00130434782608702
1,"hhelec","sd_low",0.28,0.27729708957962,"Electrified households                                0.38 (0.29)           0.35 (0.28)         −0.03 (0.1)",-0.00270291042038001
